"Status","URL","Redirected to","Link Text","On Page","Time stamp"
"The certificate for this server is invalid. You might be connecting to a server that is pretending to be “docs.brightcove.com” which could put your confidential information at risk.","https://docs.brightcove.com/en/video-cloud/oauth-api/guides/get-client-credentials.html","","Get Client Credentials Using CURL","http://docs.brightcove.com/en/video-cloud/concepts/api-testing-tools/api-testing-tools.html","Jan 24, 2016, 10:53:13 AM"
"The certificate for this server is invalid. You might be connecting to a server that is pretending to be “docs.brightcove.com” which could put your confidential information at risk.","https://docs.brightcove.com/en/video-cloud/oauth-api/guides/get-client-credentials-postman.html","","Get Client Credentials Using Postman","http://docs.brightcove.com/en/video-cloud/concepts/api-testing-tools/api-testing-tools.html","Jan 24, 2016, 10:53:13 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-android/guides/hls-limitations.html","","Limitations of HLS on Android","http://docs.brightcove.com/en/video-cloud/concepts/delivering-hls.html","Jan 24, 2016, 10:53:14 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-android/guides/hls-limitations.html","","Limitations of HLS on Android","http://docs.brightcove.com/en/video-cloud//concepts/delivering-hls.html","Jan 24, 2016, 10:53:14 AM"
"404 not found < 301 moved permanently","http://wordpress.org/plugins/brightcove-video-cloud","https://wordpress.org/plugins/brightcove-video-cloud","http://wordpress.org/plugins/brightcove-video-cloud/","http://docs.brightcove.com/en/video-cloud/open-source/index.html","Jan 24, 2016, 10:53:17 AM"
"404 not found < 301 moved permanently","http://wordpress.org/plugins/brightcove-video-cloud","https://wordpress.org/plugins/brightcove-video-cloud","http://wordpress.org/plugins/brightcove-video-cloud/","http://docs.brightcove.com/en/video-cloud/open-source/","Jan 24, 2016, 10:53:17 AM"
"401 unauthorized","https://cms.api.brightcove.com/v1/accounts/921483702001/videos?q=tags:sea,mammal","","Search for Videos","http://docs.brightcove.com/en/video-cloud/concepts/integrating-with-video-cloud/integrating-with-video-cloud.html","Jan 24, 2016, 10:53:20 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/utilities/index.html","","Utilities","http://docs.brightcove.com/en/video-cloud/utilities/date-converter.html","Jan 24, 2016, 10:53:20 AM"
"404 not found","http://docs.brightcove.com/en/video-cloud/utilities/index.html","","Utilities","http://docs.brightcove.com/en/video-cloud/utilities/URLencoder.html","Jan 24, 2016, 10:53:20 AM"
"A server with the specified hostname could not be found.","http://jsonlint.org","","JSONLint","http://docs.brightcove.com/en/video-cloud/concepts/intro-to-JSON/intro-to-JSON.html","Jan 24, 2016, 10:53:21 AM"
"404 not found","https://github.com/brightcove/brightcove-player-sdk-ios-ima/blob/master/Headers/BCOVIMAComponent.h","","BCOVSessionProviderExtension","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/ima/reference/current/","Jan 24, 2016, 10:53:33 AM"
"404 not found","https://github.com/brightcove/brightcove-player-sdk-ios-ima/blob/master/Headers/BCOVIMAComponent.h","","BCOVSessionProviderExtension","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/ima/reference/current/","Jan 24, 2016, 10:53:33 AM"
"404 not found","https://github.com/brightcove/brightcove-player-sdk-ios-ima/blob/master/Headers/BCOVIMAComponent.h","","BCOVSessionProviderExtension","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/ima/reference/current/index.html","Jan 24, 2016, 10:53:33 AM"
"404 not found","https://github.com/brightcove/brightcove-player-sdk-ios-ima/blob/master/Headers/BCOVIMAComponent.h","","BCOVSessionProviderExtension","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/ima/reference/current/index.html","Jan 24, 2016, 10:53:33 AM"
"404 not found","https://github.com/BrightcoveOS/ios-player-samples/blob/master/IMA%2BWidevine/BasicIMAWidevinePlayer/objc/BasicIMAWidevinePlayer/ViewController.m","","BasicIMAWidevinePlayer example code","http://docs.brightcove.com/en/video-cloud/mobile-sdks/brightcove-player-sdk-for-ios/plugins/ima/reference/current/","Jan 24, 2016, 10:53:33 AM"
