Profile Guid,Name,Horizontal Size,Vertical Size,Video Bitrate,Audio Bitrate,Keyframe Interval,Audio Sample Rate,Audio Channels
1bc47d0d-fd08-4b85-b26c-4829a98a24e8,Once 4500 1080p,1920,1080,4500,40,1,44.1,2
ec44b899-8a22-4912-8e4f-12f4638a7d2a,Once 3200 720p,1280,720,3200,40,1,44.1,2
e9c723f9-c1c0-49cc-8c7a-b686f49b76d8,Once 2500 720p,1280,720,2500,40,1,44.1,2
bb2557b1-5e23-4c15-b598-b99cf75b7fa3,Once 2400,864,480,2400,40,1,44.1,2
b2f1ecaa-1190-4b1e-b0a7-859c39986bfb,Once 1800,864,480,1800,40,1,44.1,2
3a41c6e4-93a3-4108-8995-64ffca7b9106,Once 1200,864,480,1200,40,1,44.1,2
8c913e59-c00a-4d37-925b-27b6ed698fcc,Once 800,400,224,800,40,1,44.1,2
f8de0ae7-aab1-4005-bf4a-71346bd47921,Once 600,400,224,600,40,1,44.1,2
a07db314-1579-44ce-93cd-ee9c63cfc294,Once 512,400,224,512,40,1,44.1,2
681f29c5-81eb-4229-9801-ebe21531a57c,Once 400,400,224,400,40,1,44.1,2
7d9ebac9-8315-4aba-b422-832ebf12f21d,Once 320,400,224,300,40,1,44.1,2
c93d8088-8546-408f-bfd0-84985747fc72,Once 3GP 320,480,272,250,48,1,22,2
1500a936-6f3b-4a5d-bdee-c16d51b73896,Once 200,400,224,200,40,1,44.1,2
25245ee1-3061-4b5e-b86f-d297249a1704,Once 110,400,224,110,40,1,44.1,2
bea6d4b0-0dbe-4f60-94bc-2e3cd2ca381d,Once H263 384kbps,352,288,384,12,1,8,1
89f1217b-fe2f-4b5e-8076-a134bba9442f,Once h263 Baseline,176,144,128,12,1,8,1
27e71340-af9c-468d-96c3-ebac95dd884d,Once Audio 40,0,0,0,40,1,44.1,2
